id,media_source,username,create_at,text_sent,retweet_count,favorite_count,sentiment_score
1468370675429780000,Twitter for Android,humorist,2021-12-08 00:03:44+00:00,@mzeniith nunya business,0,0,0
1468370644089780000,Twitter for iPhone,Tuan Junaidah,2021-12-08 00:03:37+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468370295836730000,Twitter for Android,ì¹´ì´ë¼ðŸŒ™,2021-12-08 00:02:14+00:00,"@nabellaanuar: terbaca posting en khairul, â€œmacam mana nak bagi tak stress buat business?â€ jawapan dia: jgn buat.",20,0,0
1468370288878350000,Twitter for Android,Connieharr,2021-12-08 00:02:12+00:00,"@nathaliamwt hampir 8th sy jatim (mlg - sby) sy ktemu cece2 koko2 rasis, biar itu mall ato dmnapun . they're always business. 2 different schools jg yg satu mayoritas chinese yg satu mayoritas jawa skolah katolik. ada perbandingan!!!! @yudekw",0,0,0
1468369936498130000,Twitter for Android,naughtynaqiðŸ˜œ,2021-12-08 00:00:48+00:00,"@wolfipali: antara point paling aku ingat sampai bila-bila oleh mag adalah "" business 1st million, changeâ€¦",8,0,0
1468369341758330000,Twitter for iPhone,pijan,2021-12-07 23:58:26+00:00,"berangan itu percuma, jadi marilah kita. bukan company, cuma idea business. 1. lorry service 2. jadi supplier cili 3. mesin gedegang 4. kedai minum pagi/petang, weekend. tepi tasik ke tepi pantai ke, open air gitu. s://t.co/gr39kbih2c",0,0,0
1468369327975910000,Twitter for Android,Melly,2021-12-07 23:58:23+00:00,@_tengkuarief: hi! izzah &amp; ada buat business jual tudung! guys nak beli nak tengok tudung apa ada go ig kitaorang okay.â€¦,510,0,0
1468369270044330000,Twitter for iPhone,mother,2021-12-07 23:58:09+00:00,embarassing s://t.co/ho0tjyclvn,0,0,0
1468369149638280000,Twitter for Android,Cocoa Harmonyâ„¢,2021-12-07 23:57:40+00:00,"#goodmorningtwitterworld secangkir coklat mungkin tidak akan terasa cukup di lidah untuk dinikmati, tetapi sangat cukup untuk selalu hadir menemani di pagi hari. ðŸ’–cocoa abundance codeðŸ’— #ch4wealth #quantumwealth #naturalimmunity #naturalbeauty #bisnisantigagal #business s://t.co/1pdmmdk8dd",0,0,0
1468369021242420000,Hootsuite Inc.,BFL INDONESIA,2021-12-07 23:57:10+00:00,"#info #dondar #pekanbaru | 8 desember 2021 | 08.00 - 16.00 | grand elite hotel pekanbaru. komplek riau business center, jl. riau s://t.co/ngv7kvffgv",0,0,1
1468368984336580000,Twitter for iPhone,ð•Š,2021-12-07 23:57:01+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
